"currentPage value must be greater than 0.","currentPage value must be greater than 0."
"pageSize value must be greater than 0.","pageSize value must be greater than 0."
"currentPage value %1 specified is greater than the %2 page(s) available.","currentPage value %1 specified is greater than the %2 page(s) available."
"Requested entity doesn't exist","Requested entity doesn't exist"
"The current customer isn't authorized.","The current customer isn't authorized."
"The Affiliate is disabled.","The Affiliate is disabled."
"The refer url is required","The refer url is required"
"The contacts is required","The contacts is required"
"The is_subscribe is required","The is_subscribe is required"
"Amount required","Amount required"
"Payment method required","Payment method required"
"Amount must great than zero","Amount must great than zero"
"Payment method doesn't exist","Payment method doesn't exist"
"Paypal email required","Paypal email required"
"Invalid paypal email address.","Invalid paypal email address."
"Affiliate account doesn't exist","Affiliate account doesn't exist"
"Could not save the withdraw: %1","Could not save the withdraw: %1"
"Your balance is not enough for request withdraw.","Your balance is not enough for request withdraw."
"The withdraw amount have to equal or greater than %1","The withdraw amount have to equal or greater than %1"
"The withdraw amount have to equal or less than %1","The withdraw amount have to equal or less than %1"
